bookingID,Accuracy,Bearing,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,second,Speed
0,8.0,144.29942321777344,-0.725250244140625,-9.622126770019534,-1.6076629638671875,0.0025750104579976155,-0.0022394521606476313,-0.0035218973835752887,1087.5,8.503365516662598
1,3.9,110.0,-0.5631258000000001,9.537963,-2.1758218,-0.0015184365,-0.0034906585,-0.00038397242,607.0,6.9045877
2,3.634,233.0,0.43336374,9.814133,0.36632404,0.0011636983,0.0010354166,0.0017641789000000005,97.0,2.9987607000000005
4,10.0,134.21011352539062,-0.3811676025390625,-9.364999389648439,-2.6086578369140625,-0.022799055776059354,0.024504277822037082,-0.001146890323442624,547.5,3.309999942779541
6,4.004,256.0,0.4764607,9.562734,2.3368123,0.0005693264,0.0037244454,0.0029022207,547.0,1.9369619
7,3.9,57.0,1.386,9.375,2.099,-0.008553222,-0.0012218889,-0.0036656666,481.0,13.017325
8,6.068,214.0,-1.1066742,9.401672,1.7693787,0.0031738281,0.00032043457000000003,0.00016784668000000005,268.0,3.5
10,3.9,112.0,0.9229584,9.317032,-1.5658112,0.0008239746000000001,-0.00024414063,-0.0009460449,187.0,9.58
11,3.9,124.0,0.4956149,9.751882,0.5865973000000001,0.006336505500000001,-0.0012260065,0.00073914696,112.0,5.192059
13,6.0,247.0,1.0295382,8.69959725,4.4389853,-0.0016035212,0.0063933157,0.0036199875,613.5,20.151251000000002
14,16.0,156.2711181640625,-0.2851654052734375,-9.718353271484375,1.1765502929687501,0.0013602095267579708,0.002611628922986205,-9.840380227842783e-05,299.5,3.173314094543457
16,3.9,120.0,1.2210428999999998,9.738416,0.12928689,0.0071349106999999985,-0.0041416697,-0.0044348873,329.0,3.84
17,3.9,94.0,2.7922376,9.320627,-1.4586674,-6.716326e-05,0.0026939176000000003,0.0017715134,302.5,15.3799995
18,10.0,187.0412750244141,0.10512390136718752,-9.785794067382813,0.65137939453125,-0.005343366411134982,-0.009598565200863593,-0.002292449066340209,517.0,2.7300000190734863
21,4.0,103.0,0.31004912,9.229648,2.753332,0.0,0.004886922,-0.0012217305,232.0,5.5002112
25,5.817499999999999,237.0,-0.6512229,8.868122999999997,3.5434184,0.007487462299999999,0.00507018155,0.0030717795,584.5,5.1996455
26,4.0,291.5,-0.50399485,9.862018,-0.43815228,0.003602883,0.0027885998,-0.0022492057,409.5,5.2448912
27,11.0,74.0,0.18555063,9.512762,2.0632033,0.014913702,-0.016777916,0.021038974,607.0,19.5
28,3.9,111.5,-0.050279772,9.6692785,1.3779051,-0.0017232507999999998,0.0022809708,-0.0034422257,323.5,3.44377195
29,4.551,49.0,0.010292052999999999,9.9702225,-0.0525665285,-0.0008087158,-0.0011520386,-0.00018310547,584.5,5.29
30,4.551,182.0,0.47584534,9.411728,0.6845703000000001,-0.0011291504,0.00021362305,-0.000579834,112.0,4.5
32,3.9,204.0,-0.9792584,1.8723229,9.560339,0.0003023783,-0.0024721716,-0.0016084082,720.5,2.80740645
33,3.9,214.0,-0.927,10.008,1.069,-0.0032751092,0.01091703,0.0,614.5,4.882654850000001
34,6.0,48.0,0.5746084,9.279925,-2.920926,0.0004363323,0.0027227136,0.0013264503,243.0,7.382743
35,5.5,268.0,-0.179,9.053,-0.199,-0.010997,0.024437778,-0.0012218889,832.0,20.047916
36,3.342,230.0,-0.5506831999999999,9.174861,3.4477558,-0.0074635516,0.003440393,-0.0032766813,247.0,0.8802232
37,3.9,289.0,-0.27552795,9.9592285,-0.15983582,0.0005950928,9.1552734e-05,0.0002593994,201.5,15.08
38,3.9,89.0,0.22941589499999998,9.492629999999998,2.06829835,-0.00033569336000000005,0.0013504028500000002,-0.00047302246000000003,359.5,15.67
39,4.0,77.0,0.17957062,9.747093,1.3527653,0.0030579916,-0.0031685582,-0.0016896532999999998,920.0,14.867207999999998
41,8.0,211.09744999999998,0.06943397,9.768641,-0.662016985,0.0006224717,-0.0017281376999999998,0.0012712105,329.5,0.14184175
43,4.7,237.0,0.15618815,9.540521,1.7952778000000005,0.0018151425,-0.0012391837,-0.0009250245,600.0,14.817201
44,3.9,114.0,-0.44653224999999996,9.791387,1.132492,0.0045631635,0.0018173241499999998,0.00016798794999999995,195.5,7.108233
47,12.0,252.0,0.92416185,5.0679263,8.235455499999999,0.01917476,-0.0002663161,0.045540057,600.5,10.1242285
50,6.867000000000001,292.0,0.32755073999999995,9.72915,-1.7105660999999999,-0.00045378561,0.0015882496,-0.00075049157,539.5,4.9657576500000005
52,3.703,68.0,0.9403371,7.964445599999999,5.697118,3.4906585e-05,-0.00045378561,-0.00015707963,292.0,2.4334219
53,8.0,65.65076446533203,-0.9495544433593752,-8.964990234375003,-4.0446533203125,-0.01286173648453768,-0.025054753219356463,-0.01988875333682076,232.0,23.39720916748047
56,4.0,114.0,0.5554718000000001,9.373586,3.1173458,0.000883922,0.006020077,0.0111782225,172.0,22.740833
57,4.0,132.0,-0.25558102000000005,8.9070285,3.7211879500000005,-0.002443461,-0.0012217305,0.0012217305,717.5,8.4454385
58,3.9,102.0,-0.13886794,9.466963,1.6149384,-0.0010769555,0.0012577715,-0.00093584554,479.5,10.3334525
59,12.0,122.5,-0.14407348999999997,9.5465315,0.375572205,-0.00016784668,0.0023880005,-0.000717163085,650.5,4.17
